CAT;CLASSIF;DESCRICAO;DESCRABREV;REFER;EXCLUIDOS;
D84;;Outras imunodeficiências;D84   Outr imunodeficiencias;;;
D86;;Sarcoidose;D86   Sarcoidose;;;
D89;;Outros transtornos que comprometem o mecanismo imunitário não classificados em outra parte;D89   Outr transt q comprom mecanismo imunit NCOP;;;
E00;;Síndrome de deficiência congênita de iodo;E00   Sindr de defic congen de iodo;;;
E01;;Transtornos tireoidianos e afecções associadas, relacionados à deficiência de iodo;E01   Transt tireoid e afecc assoc rel defic iodo;;;
E02;;Hipotireoidismo subclínico por deficiência de iodo;E02   Hipotireoidismo subclinico p/defic de iodo;;;
E03;;Outros hipotireoidismos;E03   Outr hipotireoidismos;;;
E04;;Outros bócios não-tóxicos;E04   Outr bocios nao-toxicos;;;
E05;;Tireotoxicose [hipertireoidismo];E05   Tireotoxicose;;;
E06;;Tireoidite;E06   Tireoidite;;;
E07;;Outros transtornos da tireóide;E07   Outr transt da tireoide;;;
E10;;Diabetes mellitus insulino-dependente;E10   Diabetes mellitus insulino-dependente;;;
E11;;Diabetes mellitus não-insulino-dependente;E11   Diabetes mellitus nao-insulino-dependemte;;;
E12;;Diabetes mellitus relacionado com a desnutrição;E12   Diabetes mellitus relac c/a desnutr;;;
E13;;Outros tipos especificados de diabetes mellitus;E13   Outr tipos espec de diabetes mellitus;;;
E14;;Diabetes mellitus não especificado;E14   Diabetes mellitus NE;;;
E15;;Coma hipoglicêmico não-diabético;E15   Coma hipoglicemico nao-diabetico;;;
E16;;Outros transtornos da secreção pancreática interna;E16   Outr transt da secrecao pancreatica interna;;;
E20;;Hipoparatireoidismo;E20   Hipoparatireoidismo;;;
E21;;Hiperparatireoidismo e outros transtornos da glândula paratireóide;E21   Hiperparatireoid e out transt gland paratir;;;
E22;;Hiperfunção da hipófise;E22   Hiperfuncao da hipofise;;;
E23;;Hipofunção e outros transtornos da hipófise;E23   Hipofuncao e outr transt da hipofise;;;
E24;;Síndrome de Cushing;E24   Sindr de Cushing;;;
E25;;Transtornos adrenogenitais;E25   Transt adrenogenitais;;;
E26;;Hiperaldosteronismo;E26   Hiperaldosteronismo;;;
E27;;Outros transtornos da glândula supra-renal;E27   Outr transt da gland supra-renal;;;
E28;;Disfunção ovariana;E28   Disfuncao ovariana;;;
E29;;Disfunção testicular;E29   Disfuncao testicular;;;
E30;;Transtornos da puberdade não classificados em outra parte;E30   Transt da puberdade NCOP;;;
E31;;Disfunção poliglandular;E31   Disfuncao poliglandular;;;
E32;;Doenças do timo;E32   Doenc do timo;;;
E34;;Outros transtornos endócrinos;E34   Outr transt endocrinos;;;
E35;*;Transtornos das glândulas endócrinas em doenças classificadas em outra parte;E35   Transt das gland endocrinas em doenc COP;;;
E40;;Kwashiorkor;E40   Kwashiorkor;;;
E41;;Marasmo nutricional;E41   Marasmo nutricional;;;
E42;;Kwashiorkor marasmático;E42   Kwashiorkor marasmatico;;;
E43;;Desnutrição protéico-calórica grave não especificada;E43   Desnutric proteico-calorica grave NE;;;
E44;;Desnutrição protéico-calórica de graus moderado e leve;E44   Desnutric proteico-calorica grau moder leve;;;
E45;;Atraso do desenvolvimento devido à desnutrição protéico-calórica;E45   Atraso desenv dev desnutric proteico-caloric;;;
E46;;Desnutrição protéico-calórica não especificada;E46   Desnutric proteico-calorica NE;;;
E50;;Deficiência de vitamina A;E50   Defic de vitamina A;;;
E51;;Deficiência de tiamina;E51   Defic de tiamina;;;
E52;;Deficiência de niacina [pelagra];E52   Defic de niacina;;;
E53;;Deficiência de outras vitaminas do grupo B;E53   Defic de outr vitaminas do grupo B;;;
E54;;Deficiência de ácido ascórbico;E54   Defic de acido ascorbico;;;
E55;;Deficiência de vitamina D;E55   Defic de vitamina D;;;
E56;;Outras deficiências vitamínicas;E56   Outr defic vitaminicas;;;
E58;;Deficiência de cálcio da dieta;E58   Defic de calcio da dieta;;;
E59;;Deficiência de selênio da dieta;E59   Defic de selenio da dieta;;;
E60;;Deficiência de zinco da dieta;E60   Defic de zinco da dieta;;;
E61;;Deficiência de outros elementos nutrientes;E61   Defic de outr elementos nutrientes;;;
E63;;Outras deficiências nutricionais;E63   Outr defic nutricionais;;;
E64;;Seqüelas de desnutrição e de outras deficiências nutricionais;E64   Sequelas desnutric e outr defic nutricionais;;;
E65;;Adiposidade localizada;E65   Adiposidade localizada;;;
E66;;Obesidade;E66   Obesidade;;;
E67;;Outras formas de hiperalimentação;E67   Outr form de hiperalimentacao;;;
E68;;Seqüelas de hiperalimentação;E68   Sequelas de hiperalimentacao;;;
E70;;Distúrbios do metabolismo de aminoácidos aromáticos;E70   Disturbios metabolism aminoacidos aromaticos;;;
E71;;Distúrbios do metabolismo de aminoácidos de cadeia ramificada e do metabolismo dos ácidos graxos;E71   Dist metab aminoacidos cad ramif e acid grax;;;
E72;;Outros distúrbios do metabolismo de aminoácidos;E72   Outr disturbios metabolismo de aminoacidos;;;
E73;;Intolerância à lactose;E73   Intolerancia a lactose;;;
E74;;Outros distúrbios do metabolismo de carboidratos;E74   Outr disturbios do metabolismo carboidratos;;;
E75;;Distúrbios do metabolismo de esfingolípides e outros distúrbios de depósito de lípides;E75   Disturb metab esfingolip e outr depos lipid;;;
E76;;Distúrbios do metabolismo do glicosaminoglicano;E76   Disturbios metabolismo do glicosaminoglicano;;;
E77;;Distúrbios do metabolismo de glicoproteínas;E77   Disturbios do metabolismo de glicoproteinas;;;
E78;;Distúrbios do metabolismo de lipoproteínas e outras lipidemias;E78   Disturbios metab lipoproteinas e out lipidem;;;
E79;;Distúrbios do metabolismo de purina e pirimidina;E79   Disturbios metabolismo purina e pirimidina;;;
E80;;Distúrbios do metabolismo da porfirina e da bilirrubina;E80   Disturbios metab porfirina e bilirrubina;;;
E83;;Distúrbios do metabolismo de minerais;E83   Disturbios do metabolismo de minerais;;;
E84;;Fibrose cística;E84   Fibrose cistica;;;
E85;;Amiloidose;E85   Amiloidose;;;
E86;;Depleção de volume;E86   Deplecao de volume;;;
E87;;Outros transtornos do equilíbrio hidroeletrolítico e ácido-básico;E87   Outr transt equil hidroeletr e acido-basic;;;
E88;;Outros distúrbios metabólicos;E88   Outr disturbios metabolicos;;;
E89;;Transtornos endócrinos e metabólicos pós-procedimentos, não classificados em outra parte;E89   Transt endocrinos e metab pos-proced NCOP;;;
E90;*;Transtornos nutricionais e metabólicos em doenças classificadas em outra parte;E90   Transt nutricionais e metab em doenc COP;;;
F00;*;Demência na doença de Alzheimer;F00   Demencia na doenc de Alzheimer;G30.-+;;
F01;;Demência vascular;F01   Demencia vascular;;;
F02;*;Demência em outras doenças classificadas em outra parte;F02   Demencia em outr doenc COP;;;
F03;;Demência não especificada;F03   Demencia NE;;;
F04;;Síndrome amnésica orgânica não induzida pelo álcool ou por outras substâncias psicoativas;F04   Sindr amnes org n ind alcool out subst psic;;;
F05;;Delirium não induzido pelo álcool ou por outras substâncias psicoativas;F05   Delirium nao induz alcool outr subst psicoat;;;
F06;;Outros transtornos mentais devidos a lesão e disfunção cerebral e a doença física;F06   Outr transt ment lesao disf cereb doenc fis;;;
F07;;Transtornos de personalidade e do comportamento devidos a doença, a lesão e a disfunção cerebral;F07   Transt pers comport dev doen lesao disf cer;;;
F09;;Transtorno mental orgânico ou sintomático não especificado;F09   Transt mental organico ou sintomatico NE;;;
F10;;Transtornos mentais e comportamentais devidos ao uso de álcool;F10   Transt mentais comport dev uso alcool;;;
F11;;Transtornos mentais e comportamentais devidos ao uso de opiáceos;F11   Transt mentais e comport dev uso de opiaceos;;;
F12;;Transtornos mentais e comportamentais devidos ao uso de canabinóides;F12   Transt mentais comport dev uso canabinoides;;;
F13;;Transtornos mentais e comportamentais devidos ao uso de sedativos e hipnóticos;F13   Transt mentais comport dev uso sedat hipnot;;;
F14;;Transtornos mentais e comportamentais devidos ao uso da cocaína;F14   Transt mentais e comport dev uso da cocaina;;;
F15;;Transtornos mentais e comportamentais devidos ao uso de outros estimulantes, inclusive a cafeína;F15   Transt ment comp uso outr estim incl cafeina;;;
F16;;Transtornos mentais e comportamentais devidos ao uso de alucinógenos;F16   Transt mentais comport dev uso alucinogenos;;;
F17;;Transtornos mentais e comportamentais devidos ao uso de fumo;F17   Transt mentais e comport dev uso de fumo;;;
F18;;Transtornos mentais e comportamentais devidos ao uso de solventes voláteis;F18   Transt mentais comport dev uso solv volateis;;;
F19;;Transtornos mentais e comportamentais devidos ao uso de múltiplas drogas e ao uso de outras substâncias psicoativas;F19   Transt ment comp mult drog out subst psicoat;;;
F20;;Esquizofrenia;F20   Esquizofrenia;;;
F21;;Transtorno esquizotípico;F21   Transt esquizotipico;;;
F22;;Transtornos delirantes persistentes;F22   Transt delirantes persistentes;;;
F23;;Transtornos psicóticos agudos e transitórios;F23   Transt psicoticos agudos e transitorios;;;
F24;;Transtorno delirante induzido;F24   Transt delirante induz;;;
F25;;Transtornos esquizoafetivos;F25   Transt esquizoafetivos;;;
F28;;Outros transtornos psicóticos não-orgânicos;F28   Outr transt psicoticos nao-organicos;;;
F29;;Psicose não-orgânica não especificada;F29   Psicose nao-organica NE;;;
F30;;Episódio maníaco;F30   Episodio maniaco;;;
F31;;Transtorno afetivo bipolar;F31   Transt afetivo bipolar;;;
F32;;Episódios depressivos;F32   Episodios depressivos;;;
F33;;Transtorno depressivo recorrente;F33   Transt depressivo recorrente;;;
F34;;Transtornos de humor [afetivos] persistentes;F34   Transt de humor persistentes;;;
F38;;Outros transtornos do humor [afetivos];F38   Outr transt do humor;;;
F39;;Transtorno do humor [afetivo] não especificado;F39   Transt do humor NE;;;
F40;;Transtornos fóbico-ansiosos;F40   Transt fobico-ansiosos;;;
F41;;Outros transtornos ansiosos;F41   Outr transt ansiosos;;;
F42;;Transtorno obsessivo-compulsivo;F42   Transt obsessivo-compulsivo;;;
F43;;Reações ao "stress" grave e transtornos de adaptação;F43   Reacoes ao stress grave e transt adaptacao;;;
F44;;Transtornos dissociativos [de conversão];F44   Transt dissociativos;;;
F45;;Transtornos somatoformes;F45   Transt somatoformes;;;
F48;;Outros transtornos neuróticos;F48   Outr transt neuroticos;;;
F50;;Transtornos da alimentação;F50   Transt da alimentacao;;;
F51;;Transtornos não-orgânicos do sono devidos a fatores emocionais;F51   Transt nao-organicos sono dev fat emocionais;;;
F52;;Disfunção sexual, não causada por transtorno ou doença orgânica;F52   Disfuncao sexual n caus p/transt doenc organ;;;
F53;;Transtornos mentais e comportamentais associados ao puerpério, não classificados em outra parte;F53   Transt mentais comport assoc puerperio NCOP;;;
F54;;Fatores psicológicos ou comportamentais associados a doença ou a transtornos classificados em outra parte;F54   Fat psicolog comport assoc doenc transt COP;;;
F55;;Abuso de substâncias que não produzem dependência;F55   Abuso de subst que nao produzem dependencia;;;
F59;;Síndromes comportamentais associados a transtornos das funções fisiológicas e a fatores físicos, não especificadas;F59   Sindr comp ass trans func fisio fat fisic NE;;;
F60;;Transtornos específicos da personalidade;F60   Transt especificos da personalidade;;;
F61;;Transtornos mistos da personalidade e outros transtornos da personalidade;F61   Transt mistos personal outr transt personal;;;
F62;;Modificações duradouras da personalidade não atribuíveis a lesão ou doença cerebral;F62   Modif durad pers n atrib lesao doenc cerebr;;;
F63;;Transtornos dos hábitos e dos impulsos;F63   Transt dos habitos e dos impulsos;;;
F64;;Transtornos da identidade sexual;F64   Transt da identidade sexual;;;
F65;;Transtornos da preferência sexual;F65   Transt da preferencia sexual;;;
F66;;Transtornos psicológicos e comportamentais associados ao desenvolvimento sexual e à sua orientação;F66   Transt psic comp assoc desenv sex e orient;;;
F68;;Outros transtornos da personalidade e do comportamento do adulto;F68   Outr transt personalidade e comport adulto;;;
F69;;Transtorno da personalidade e do comportamento do adulto, não especificado;F69   Transt personalidade e comport adulto NE;;;
F70;;Retardo mental leve;F70   Retardo mental leve;;;
F71;;Retardo mental moderado;F71   Retardo mental moderado;;;
F72;;Retardo mental grave;F72   Retardo mental grave;;;
F73;;Retardo mental profundo;F73   Retardo mental profundo;;;
F78;;Outro retardo mental;F78   Outr retardo mental;;;
F79;;Retardo mental não especificado;F79   Retardo mental NE;;;
F80;;Transtornos específicos do desenvolvimento da fala e da linguagem;F80   Transt especificos desenvolv fala linguagem;;;
F81;;Transtornos específicos do desenvolvimento das habilidades escolares;F81   Transt especif desenvolv habilidade escolar;;;
F82;;Transtorno específico do desenvolvimento motor;F82   Transt especifico do desenvolv motor;;;
F83;;Transtornos específicos misto do desenvolvimento;F83   Transt especificos misto do desenvolv;;;
F84;;Transtornos globais do desenvolvimento;F84   Transt globais do desenvolv;;;
F88;;Outros transtornos do desenvolvimento psicológico;F88   Outr transt do desenvolv psicologico;;;
F89;;Transtorno do desenvolvimento psicológico não especificado;F89   Transt do desenvolv psicologico NE;;;
F90;;Transtornos hipercinéticos;F90   Transt hipercineticos;;;
F91;;Distúrbios de conduta;F91   Disturbios de conduta;;;
F92;;Transtornos mistos de conduta e das emoções;F92   Transt mistos de conduta e das emocoes;;;
F93;;Transtornos emocionais com início especificamente na infância;F93   Transt emocionais c/inicio especif infancia;;;
F94;;Transtornos do funcionamento social com início especificamente durante a infância ou a adolescência;F94   Transt func soc c/inicio infancia adolesc;;;
F95;;Tiques;F95   Tiques;;;
F98;;Outros transtornos comportamentais e emocionais com início habitualmente durante a infância ou a adolescência;F98   Outr transt comp emoc c/inicio inf adolesc;;;
F99;;Transtorno mental não especificado em outra parte;F99   Transt mental NE em outr parte;;;
G00;;Meningite bacteriana não classificada em outra parte;G00   Meningite bacter NCOP;;;
G01;*;Meningite em doenças bacterianas classificadas em outra parte;G01   Meningite em doenc bacter COP;;;
G02;*;Meningite em outras doenças infecciosas e parasitárias classificadas em outra parte;G02   Meningite em outr doenc infecc e parasit COP;;;
G03;;Meningite devida a outras causas e a causas não especificadas;G03   Meningite dev outr causas e a causas NE;;;
G04;;Encefalite, mielite e encefalomielite;G04   Encefalite mielite e encefalomielite;;;
G05;*;Encefalite, mielite e encefalomielite em doenças classificadas em outra parte;G05   Encefalite mielite encefalomielite doenc COP;;;
G06;;Abscesso e granuloma intracranianos e intra-raquidianos;G06   Abscesso granuloma intracran intra-raquid;;;
G07;*;Abscesso e granuloma intracranianos e intraspinais em doenças classificadas em outra parte;G07   Abscess granul intracran intraspin doenc COP;;;
G08;;Flebite e tromboflebite intracranianas e intra-raquidianas;G08   Flebite tromboflebite intracran intra-raquid;;;
G09;;Seqüelas de doenças inflamatórias do sistema nervoso central;G09   Sequelas doenc inflam sist nerv centr;;;
G10;;Doença de Huntington;G10   Doenc de Huntington;;;
G11;;Ataxia hereditária;G11   Ataxia hereditaria;;;
G12;;Atrofia muscular espinal e síndromes correlatas;G12   Atrofia muscular espinal e sindr correlatas;;;
G13;*;Atrofias sistêmicas que afetam principalmente o sistema nervoso central em doenças classificadas em outra parte;G13   Atrof sist q afet sist nerv centr doen COP;;;
G20;;Doença de Parkinson;G20   Doenc de Parkinson;;;
G21;;Parkinsonismo secundário;G21   Parkinsonismo secund;;;
G22;*;Parkinsonismo em doenças classificadas em outra parte;G22   Parkinsonismo em doenc COP;;;
G23;;Outras doenças degenerativas dos gânglios da base;G23   Outr doenc degenerativas dos ganglios base;;;
G24;;Distonia;G24   Distonia;;;
G25;;Outras doenças extrapiramidais e transtornos dos movimentos;G25   Outr doenc extrapiramidais transt movimentos;;;
